# detector_index,center_wavelength,sigma_wavelength,efficiency_at_peak
5.300000000000000000e+01,4.058946059015247521e+00,2.154810834344490431e-02,2.087097058718029086e+00
5.200000000000000000e+01,4.102250929883247466e+00,1.770137117993507078e-02,2.147913689932894776e+00
5.100000000000000000e+01,4.146099741966820851e+00,2.367901805442813173e-02,2.183095224059070194e+00
5.000000000000000000e+01,4.192790972465758159e+00,2.071487015932064676e-02,2.128109550470185241e+00
4.900000000000000000e+01,4.235682509505759974e+00,1.975246046410153097e-02,2.099696199138991304e+00
4.800000000000000000e+01,4.275755833181218435e+00,2.594974971043509382e-02,2.203379078466340513e+00
4.700000000000000000e+01,4.322888770494939692e+00,1.951369360890080340e-02,2.170758524046008109e+00
4.600000000000000000e+01,4.366583628299522957e+00,2.140538218234765144e-02,2.221830841280751923e+00
4.500000000000000000e+01,4.412705707485796935e+00,2.142908767530370476e-02,2.235017271487905521e+00
4.400000000000000000e+01,4.454634574308169448e+00,2.238462141068185696e-02,2.150040689717236386e+00
4.300000000000000000e+01,4.499641165961975275e+00,1.606381873141150482e-02,2.108492315775758019e+00
4.200000000000000000e+01,4.534896800189514465e+00,2.380717926120064568e-02,2.148202633487119595e+00
4.100000000000000000e+01,4.580539396079773340e+00,1.973619147656578351e-02,2.079464905367464755e+00
4.000000000000000000e+01,4.619177423244067882e+00,2.566575870087485500e-02,2.047018758483027501e+00
3.900000000000000000e+01,4.668037879800341905e+00,2.167989093231552020e-02,2.106190136267847457e+00
3.800000000000000000e+01,4.707928673319792701e+00,2.062987156583426934e-02,2.149496570383246485e+00
3.700000000000000000e+01,4.749823787851808810e+00,2.109009432189336980e-02,2.122590762392251751e+00
3.600000000000000000e+01,4.785924109506409785e+00,1.567016755986711668e-02,1.932671348282516188e+00
3.500000000000000000e+01,4.823404143276734501e+00,2.614336853924139129e-02,2.042724850581066676e+00
3.400000000000000000e+01,4.862710332284116532e+00,1.291135999458909063e-02,1.912554914904419645e+00
3.300000000000000000e+01,4.896291813515984082e+00,2.534486675309136072e-02,2.041708473750640795e+00
3.200000000000000000e+01,4.946578342230870895e+00,1.882477409781270483e-02,1.886328858373259365e+00
3.100000000000000000e+01,4.988864221411949629e+00,1.550191192181116229e-02,1.906143161350705606e+00
3.000000000000000000e+01,5.024053760391511858e+00,2.269175733155075203e-02,1.996956500715336924e+00
2.900000000000000000e+01,5.065910743726432131e+00,1.917453659961375692e-02,1.883436930349582372e+00
2.800000000000000000e+01,5.098992502200515808e+00,1.526645550363580836e-02,1.989318819090585944e+00
2.700000000000000000e+01,5.131631074272469561e+00,1.921235234637876446e-02,1.953112794050384515e+00
2.600000000000000000e+01,5.169573075492226444e+00,2.010281681475509577e-02,1.884508403313199576e+00
2.500000000000000000e+01,5.209012886384890351e+00,1.734393716014378736e-02,2.021980260224661041e+00
2.400000000000000000e+01,5.245135540780311523e+00,1.919833551726292734e-02,2.069666145693144443e+00
2.300000000000000000e+01,5.283852971438177448e+00,1.658429336508767532e-02,2.058912358296028700e+00
2.200000000000000000e+01,5.319852596946796908e+00,1.720621587177739720e-02,1.994540796802139804e+00
2.100000000000000000e+01,5.353348381578570070e+00,1.690324790405669381e-02,1.954601300613773684e+00
2.000000000000000000e+01,5.385935293837184723e+00,1.488780725739824277e-02,1.792964960318321310e+00
1.900000000000000000e+01,5.419192878423199744e+00,2.018500829584153958e-02,1.914673820650816483e+00
1.800000000000000000e+01,5.451989544350297479e+00,1.570842425898632058e-02,1.907167246762054180e+00
1.700000000000000000e+01,5.486676794965318571e+00,2.269563687581018646e-02,1.956448101624507885e+00
1.600000000000000000e+01,5.522919870337602788e+00,1.614089612857342107e-02,1.929727831281367045e+00
1.500000000000000000e+01,5.553741858399525277e+00,1.518974228725374249e-02,1.903190344369777298e+00
1.400000000000000000e+01,5.582238543721775414e+00,1.236030257620243482e-02,1.772790780332978100e+00
1.300000000000000000e+01,5.611689867853728586e+00,2.256903690778628083e-02,1.856290278764224588e+00
1.200000000000000000e+01,5.651908929624365641e+00,1.637383444904248753e-02,1.765340241164354396e+00
1.100000000000000000e+01,5.678868185814304859e+00,1.140647769774756452e-02,1.750101377206819020e+00
1.000000000000000000e+01,5.707036661410130662e+00,2.052137449835692365e-02,1.728855094291713579e+00
9.000000000000000000e+00,5.744855961866836225e+00,1.337115040395781169e-02,1.636617788859518363e+00
8.000000000000000000e+00,5.768497432575536266e+00,1.115901851719804452e-02,1.636326254939715508e+00
7.000000000000000000e+00,5.793776500324113066e+00,1.781771155564224746e-02,1.616292971265742340e+00
6.000000000000000000e+00,5.826549031174190318e+00,1.377310719269367496e-02,1.452888655235033299e+00
5.000000000000000000e+00,5.853385546006810713e+00,1.283423410313547404e-02,1.434321045040695797e+00
4.000000000000000000e+00,5.882323153441426200e+00,1.682369099726998413e-02,1.531712050818222703e+00
3.000000000000000000e+00,5.912200123253033013e+00,1.138648216430494277e-02,1.448439631895012347e+00
2.000000000000000000e+00,5.938238053848115428e+00,1.589937716117626257e-02,1.506160743584866735e+00
1.000000000000000000e+00,5.968967512789018492e+00,1.334974719560933464e-02,1.368695951746001560e+00
0.000000000000000000e+00,5.999411714707890475e+00,2.655649402036631967e-02,1.323869532330300469e+00
